,Correlation,Abs_Correlation
Fuel Consumption City (L/100 km),0.919592474902484,0.919592474902484
Fuel Consumption Comb (L/100 km),0.9180515723870852,0.9180515723870852
Fuel Consumption Comb (mpg),-0.9074262866541867,0.9074262866541867
Fuel Consumption Hwy (L/100 km),0.8835359454649435,0.8835359454649435
Engine Size(L),0.8511446437900011,0.8511446437900011
Cylinders,0.8326436002237773,0.8326436002237773
Fuel_Diff,0.8033091435417197,0.8033091435417197
Displacement_Per_Cyl,0.584509294532634,0.584509294532634
Power_Efficiency,-0.5690512601086408,0.5690512601086408
